mlx/éditions;fr1_1_1766;fr1_2_1797Mo;fr2_1_1773;fr2_2_1782;fr2_3_1784;fr2_4_1794;Fr2_7_1797Ch;ang1_1_1767;ang1_2_1769;ang1_3_1778;ang1_4_1785;ang1_5_1788;it1_1764;it3_1765;it5_1766_1;it6_1766_2;it7_1774;it8_1780;it9_1781;it10_1786
T_proof;3_R : constater;3_E : constater;3_E : T_prove;3_E : T_prove;3_E : T_prove;3_E : T_prove;2_E : T_prove;3;3;3;3;2;1;3;3;3;3;3;3;3
T_proof;S;S;5;5;5;5;4;4;4;4;4;3;1;3;3;3;S;S;S;S
T_proof;S;S;9;9;9;9;8;8_R : produce;8_R : produce;9_R : produce;8_R : produce;7_R : produce;4_R : T_prove;6_R : T_prove;6_R : T_prove;6_R : T_prove;S;S;S;S
T_proof;4_R : T_prove;4_R : T_prove;10;10;10;10;9;9;9;10;9;8;5_R : T_prove;7_R : T_prove;7_R : T_prove;7_R : T_prove;4_R : T_prove;4_R : T_prove;4_R : T_prove;4_R : T_prove
T_proof;S;S;S;S;S;S;S;S;S;S;S;S;5;7;7;7;S;S;S;S
T_proof;I;I;I;22;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I
T_proof;S;S;11_E : semi-preuves;11_E : sémi-preuves;11_E : sémi-preuves;11_E : semi-preuves;11_E : sémi-preuves;11;11;12_E : half-proofs;11;10_E : half-proofs;6;8;8;8;S;S;S;S
T_proof;S;S;28_R : soupçon;34_R : soupçon;28_R : soupçon;28_R : soupçon;27_R : soupcon;32;32;33;32;31;S;S;S;S;S;S;S;S
;;;;;;;;;;;;;;;;;;;;
T_adultery;5;5;I;I;I;I;I;I;I;I;I;I;I;I;I;I;5;5;5;5
T_adultery;S;S;11;11;11;11;10;11;11;12;11;10;6;8;8;8;S;S;S;S
T_adultery;6;6;13;13;13;13;12;14;14;15;14;13;7;9;9;9;6;6;6;6
T_adultery;10_R : T_offense;10_R : T_offense;16_R : T_offense;16_R : T_offense;16_R : T_offense;16_R : T_offense;15_R : T_offense;19;19;20;19;18;S;S;S;S;S;S;S;S
T_adultery;11;11;17;17;17;17;16;20;20;21;20;19;9_R : Egli;11_R : Egli;11_R : Egli;11_R : Egli;9_R : Egli;9_R : Egli;9_R : Egli;9_R : Egli
T_adultery;16;16;24;28;24;24;23;27;27;28;27;26;15_R : T_offense;17_R : T_offense;17_R : T_offense;17_R : T_offense;15_R : T_offense;15_R : T_offense;15_R : T_offense;15_R : T_offense
T_adultery;I;I;I;24;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I
;;;;;;;;;;;;;;;;;;;;
T_laws;S;S;4_R : législation;4_R : législation;4_R : législation;4_R : législation;3_R : législation;4;4;4;4;3;1_R : Legislatrice;3_R : Legislatrice;3_R : Legislatrice;3_R : Legislatrice;S;S;S;S
T_laws;S;S;6;6;6;6;5;4;4;4;4;3;1;3;3;3;S;S;S;S
T_laws;S;S;7;7;7;7;6;6;6;7;6;5;2;4;4;4;S;S;S;S
T_laws;S;S;12_R : règle;12_R : regle;12_R : règle;12_R : règle;11_R : règle;13;13;14;13;12;6;8;8;8;S;S;S;S
T_laws;6;6;13;13;13;13;12;15;15;16;15;14;7;9;9;9;6;6;6;6
T_laws;10_R : lumières;10_R : lumières;16_R : lumières;16_R : lumières;16_R : lumières;16_R : lumières;15_R : lumières;19;19;20;19;18;8_R : luce;10_R : luce;10_R : luce;10_R : luce;8_R : luce;8_R : luce;8_R : luce;8_R : luce
T_laws;13;13;20;20;20;20;19;22;22;23;22;21;11;13;13;13;11;11;11;11
T_laws;13;13;20_R : son effet;20_R : son effet;20_R : son effet;20_R : son effet;19_R : son effet;23;23;24;23;22;11_R : loro effetto;13_R : loro effetto;13_R : loro effetto;13_R : loro effetto;11_R : loro effetto;11_R : loro effetto;11_R : loro effetto;11_R : loro effetto
T_laws;13_R : celles-là;13_R : celles-là;29_R : parti;36_R : parti;29_R : parti;29_R : parti;28_R : parti;23;23;24;23;22;S;S;S;S;S;S;S;S
T_laws;15_R : celle;15_R : celle;23_R : celle;27_R : celle;23_R : celle;23_R : celle;22_R : celle;26;26;27;26;25;S;S;S;S;S;S;S;S
T_laws;16;16;24;28;24;24;23;27;27;28;27;26;I;17;17;17;15;15;15;15
T_laws;16_R : législateur;16_R : législateur;24_R : Législateur;28_R : législateur;24_R : Législateur;24_R : législateur;23_R : législateur;27;27;28;27;26;15_R : Legislatore;17_R : Legislatore;17_R : Legislatore;17_R : Legislatore;15_R : Legislatore;15_R : Legislatore;15_R : Legislatore;15_R : Legislatore
T_laws;22;21;28;31;28;28;27;32;32;33;32;31;18;20;20;20;18;18;18;18
T_laws;I;I;I;31;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I
T_laws;S;S;29;35;29;29;28;S;S;S;S;S;S;S;S;S;S;S;S;S
T_laws;S;S;30;37;30;30;29;S;S;S;S;S;22;24;24;24;22;22;22;22
T_laws;27;26;31;38;31;31;30;39;39;40;39;38;23;25;25;25;23;23;23;23
;;;;;;;;;;;;;;;;;;;;
T_infamy;25;24;29;35;29;29;28;36;36;37;36;35;21;23;23;23;21;21;21;21
;;;;;;;;;;;;;;;;;;;;
T_punishment;18;17;25;29;25;25;24;28;28;29;28;27;16;18;18;18;16;16;16;16
T_punishment;I;I;I;31;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I
T_punishment;27_R : punition;26_R : punition;31_R : punition;38_R : punition;31_R : punition;31_R : punition;30_R : punition;39;39;40;39;38;23;25;25;25;23;23;23;23
;;;;;;;;;;;;;;;;;;;;
T_truth;S;S;6;6;6;6;5;4;4;4;4;3;1;3;3;3;S;S;S;S
;;;;;;;;;;;;;;;;;;;;
T_tyranny;R : T_paternal_authority;R : T_paternal_authority;R : T_paternal_authority;R : T_paternal_authority;R : T_paternal_authority;R : T_paternal_authority;R : T_paternal_authority;R : T_paternal_authority;R : T_paternal_authority;R : T_paternal_authority;R : T_paternal_authority;R : T_paternal_authority;13;15;R : T_paternal_authority;R : T_paternal_authority;R : T_paternal_authority;R : T_paternal_authority;R : T_paternal_authority;R : T_paternal_authority
T_tyranny;26;25;30;29;30;30;29;38;38;39;38;37;22;24;24;24;22;22;22;22
;;;;;;;;;;;;;;;;;;;;
T_torture;S;S;12;12;12;12;11;13;13;14;13;12;6;8;8;8;S;S;S;S
T_torture;22_R : tourmens;21_R : tourmens;28;34;28;28;27;32;32;33;32;31;18;20;20;20;18;18;18;18
;;;;;;;;;;;;;;;;;;;;
T_paternal_authority;14;14;22;26;22;22;21;25;25;26;25;24;R : T_tyranny;R : T_tyranny;15;15;13;13;13;13
;;;;;;;;;;;;;;;;;;;;
T_children_murder;5;5;I;I;I;I;I;I;I;I;I;I;I;I;I;I;5;5;5;5
T_children_murder;24;23;29;35;29;29;28;35;35;36;35;34;20;22;22;22;20;20;20;20
;;;;;;;;;;;;;;;;;;;;
T_sodomy;5;5;I;I;I;I;I;I;I;I;I;I;I;I;I;I;5;5;5;5
T_sodomy;S;S;11;11;11;11;10;11;11;12;11;10;6;8;8;8;S;S;S;S
T_sodomy;22;21;28;31;28;28;27;32;32;33;32;31;18;20;20;20;18;18;18;18
T_sodomy;S;S;28;34;28;28;27;S;S;S;S;S;S;S;S;S;S;S;S;S
;;;;;;;;;;;;;;;;;;;;
T_crime;3;3;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;3;3;3;3;2;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense
T_crime;S;S;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;4;4;4;4;3;R : T_offense;R : T_offense;R : T_offense;R : T_offense;S;S;S;S
T_crime;S;S;6;6;6;6;5;4;4;4;4;3;1;3;3;3;S;S;S;S
T_crime;S;S;7;7;7;7;6;5;5;6;5;4;R : T_offense;R : T_offense;R : T_offense;R : T_offense;S;S;S;S
T_crime;S;S;9;9;9;9;8;8;8;9;8;7;R : T_offense;R : T_offense;R : T_offense;R : T_offense;S;S;S;S
T_crime;4;4;10;10;10;10;9;9;9;10;9;8;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense
T_crime;S;S;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;10;10;10;10;9;R : T_offense;R : T_offense;R : T_offense;R : T_offense;S;S;S;S
T_crime;S;S;11;11;11;11;10;11;11;12;11;10;R : T_offense;R : T_offense;R : T_offense;R : T_offense;S;S;S;S
T_crime;6;6;S;S;S;S;S;14;14;15;14;13;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense
T_crime;18;17;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I
T_crime;10_R : autres;10_R : autres;16_R : autres;16_R : autres;16_R : autres;16_R : autres;15_R : autres;19;19;20;19;18;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense
T_crime;11;11;18;18;18;18;17;20;20;21;20;19;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense
T_crime;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;27;27;28;27;26;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense
T_crime;S;S;S;S;S;S;S;27;27;28;27;26;S;S;S;S;S;S;S;S
T_crime;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;28;28;29;28;27;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense
T_crime;I;I;I;I;I;I;I;32;32;33;32;31;I;I;I;I;I;I;I;I
T_crime;26;25;30;37;30;30;29;38;38;39;38;37;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense
T_crime;27;26;31;38;31;31;30;39;39;40;39;38;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense
T_crime;27;26;31;38;31;31;30;39;39;40;39;38;I;I;I;I;S;S;S;S
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Légende;S = suppression;;R = remplacement;;I = inexistant;;E = équivalent;;;;;;;;;;;;;
