mlx/̩ditions;fr1_1_1766;fr1_2_1797Mo;fr2_1_1773;fr2_2_1782;fr2_3_1784;fr2_4_1794;fr2_7_1797Ch;ang1_1_1767;ang1_2_1769;ang1_3_1778;ang1_4_1785;ang1_5_1788;it1_1764;it3_1765;it5_1766_1;it6_1766_2;it7_1774;it8_1780;it9_1781;it10_1786
T_proof;/;/;/;/;/;/;/;/;/;/;/;/;1;3;3;3;3;3;3;3
T_proof;/;/;5;5;5;5;4;4;4;4;4;3;1;3;3;3;/;/;/;/
T_proof;/;/;/;/;/;/;/;/;/;/;/;/;5;7;7;7;/;/;/;/
T_proof;/;/;9;9;9;9;8;/;/;/;/;/;/;/;/;/;/;/;/;/
T_proof;/;/;10;10;10;10;9;9;9;10;9;8;/;/;/;/;/;/;/;/
T_proof;/;/;/;22;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/
T_proof;/;/;/;/;/;/;/;11;11;/;11;/;6;8;8;8;/;/;/;/
T_proof;/;/;/;/;/;/;/;32;32;33;32;31;/;/;/;/;/;/;/;/
;;;;;;;;;;;;;;;;;;;;
T_adultery;5;5;/;/;/;/;/;/;/;/;/;/;/;/;/;/;5;5;5;5
T_adultery;/;/;11;11;11;11;10;11;11;12;11;10;6;8;8;8;/;/;/;/
T_adultery;6;6;13;13;13;13;12;14;14;15;14;13;7;9;9;9;6;6;6;6
T_adultery;/;/;/;/;/;/;/;19;19;20;19;18;/;/;/;/;/;/;/;/
T_adultery;11;11;17;17;17;17;16;20;20;21;20;19;/;/;/;/;/;/;/;/
T_adultery;16;16;24;28;24;24;23;27;27;28;27;26;/;/;/;/;/;/;/;/
T_adultery;/;/;/;24;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/
;;;;;;;;;;;;;;;;;;;;
T_laws;/;/;/;/;/;/;/;4;4;4;4;3;/;/;/;/;/;/;/;/
T_laws;/;/;6;6;6;6;5;4;4;4;4;3;1;3;3;3;/;/;/;/
T_laws;/;/;7;7;7;7;6;6;6;7;6;5;2;4;4;4;/;/;/;/
T_laws;/;/;/;/;/;/;/;13;13;14;13;12;6;8;8;8;/;/;/;/
T_laws;6;6;13;13;13;13;12;15;15;16;15;14;7;9;9;9;6;6;6;6
T_laws;/;/;/;/;/;/;/;19;19;20;19;18;/;/;/;/;/;/;/;/
T_laws;13;13;20;20;20;20;19;22;22;23;22;21;11;13;13;13;11;11;11;11
T_laws;13;13;/;/;/;/;/;23;23;24;23;22;/;/;/;/;/;/;/;/
T_laws;/;/;/;/;/;/;/;23;23;24;23;22;/;/;/;/;/;/;/;/
T_laws;/;/;/;/;/;/;/;26;26;27;26;26;/;/;/;/;/;/;/;/
T_laws;16;16;24;28;24;24;23;27;27;28;27;26;/;17;17;17;15;15;15;15
T_laws;/;/;/;/;/;/;/;27;27;28;27;26;/;/;/;/;/;/;/;/
T_laws;22;21;28;31;28;28;27;32;32;33;32;31;18;20;20;20;18;18;18;18
T_laws;/;/;/;31;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/
T_laws;/;/;29;35;29;29;28;/;/;/;/;/;/;/;/;/;/;/;/;/
T_laws;/;/;30;37;30;30;29;/;/;/;/;/;22;24;24;24;22;22;22;22
T_laws;27;26;31;38;31;31;30;39;39;40;39;38;23;25;25;25;23;23;23;23
;;;;;;;;;;;;;;;;;;;;
T_infamy;25;24;29;35;29;29;28;36;36;37;36;35;21;23;23;23;21;21;21;21
;;;;;;;;;;;;;;;;;;;;
T_punishment;18;17;25;29;25;25;24;28;28;29;28;27;16;18;18;18;16;16;16;16
T_punishment;/;/;/;31;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/
T_punishment;/;/;/;/;/;/;/;39;39;40;39;38;23;25;25;25;23;23;23;23
;;;;;;;;;;;;;;;;;;;;
T_truth;/;/;6;6;6;6;5;4;4;4;4;3;1;3;3;3;/;/;/;/
;;;;;;;;;;;;;;;;;;;;
T_tyranny;/;/;/;/;/;/;/;/;/;/;/;/;13;15;/;/;/;/;/;/
T_tyranny;26;25;30;29;30;30;29;38;38;39;38;37;22;24;24;24;22;22;22;22
;;;;;;;;;;;;;;;;;;;;
T_torture;/;/;12;12;12;12;11;13;13;14;13;12;6;8;8;8;/;/;/;/
T_torture;/;/;28;34;28;28;27;32;32;33;32;31;18;20;20;20;18;18;18;18
;;;;;;;;;;;;;;;;;;;;
T_paternal_authority;14;14;22;26;22;22;21;25;25;26;25;24;/;/;15;15;13;13;13;13
;;;;;;;;;;;;;;;;;;;;
T_children_murder;5;5;/;/;/;/;/;/;/;/;/;/;;/;/;/;5;5;5;5
T_children_murder;24;23;29;35;29;29;28;35;35;36;35;34;20;22;22;22;20;20;20;20
;;;;;;;;;;;;;;;;;;;;
T_sodomy;5;5;/;/;/;/;/;/;/;/;;/;/;/;/;/;5;5;5;5
T_sodomy;/;/;11;11;11;11;10;11;11;12;11;10;6;8;8;8;/;/;/;/
T_sodomy;22;21;28;31;28;28;27;32;32;33;32;31;18;20;20;20;18;18;18;18
T_sodomy;/;/;28;34;28;28;27;/;/;/;/;/;/;/;/;/;/;/;/;/
;;;;;;;;;;;;;;;;;;;;
T_crime;3;3;/;/;/;/;/;3;3;3;3;2;/;/;/;/;/;/;/;/
T_crime;/;/;/;/;/;/;/;4;4;4;4;3;/;/;/;/;/;/;/;/
T_crime;/;/;/;/;/;/;/;4;4;4;4;3;/;/;/;/;/;/;/;/
T_crime;/;/;6;6;6;6;5;/;/;/;/;/;1;3;3;3;/;/;/;/
T_crime;/;/;7;7;7;7;6;5;5;6;5;4;/;/;/;/;/;/;/;/
T_crime;/;/;9;9;9;9;8;8;8;9;8;7;/;/;/;/;/;/;/;/
T_crime;4;4;10;10;10;10;9;9;9;10;9;8;/;/;/;/;/;/;/;/
T_crime;/;/;/;/;/;/;/;10;10;10;10;9;/;/;/;/;/;/;/;/
T_crime;/;/;/;/;/;/;/;11;11;12;11;10;/;/;/;/;/;/;/;/
T_crime;6;6;/;/;/;/;/;14;14;15;14;13;/;/;/;/;/;/;/;/
T_crime;/;/;11;11;11;11;10;/;/;/;/;/;/;/;/;/;/;/;/;/
T_crime;18;17;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/
T_crime;/;/;/;/;/;/;/;19;19;20;19;18;/;/;/;/;/;/;/;/
T_crime;/;/;18;18;18;18;17;20;20;21;20;19;/;/;/;/;/;/;/;/
T_crime;I;I;I;I;I;I;I;27;27;28;27;26;/;/;/;/;/;/;/;/
T_crime;I;I;I;I;I;I;I;27;27;28;27;26;/;/;/;/;/;/;/;/
T_crime;I;I;I;I;I;I;I;28;28;29;28;27;/;/;/;/;/;/;/;/
T_crime;I;I;I;I;I;I;I;32;32;33;32;31;/;/;/;/;/;/;/;/
T_crime;26;25;30;37;30;30;29;38;38;39;38;37;/;/;/;/;/;/;/;/
T_crime;27;26;31;38;31;31;30;39;39;40;39;38;/;/;/;/;/;/;/;/
T_crime;27;26;31;38;31;31;30;39;39;40;39;38;/;/;/;/;/;/;/;/
